TrialDirection,Coherence,UserInput
1,0.07,1
-1,0.07,-1
1,0.1,1
-1,0.2,-1
-1,0.2,-1
-1,0.2,-1
1,0.03,1
1,0.07,-1
-1,0.15,-1
-1,0.03,-1
-1,0.2,-1
-1,0.05,-1
1,0.05,1
1,0.05,1
-1,0.15,-1
-1,0.15,-1
1,0.03,-1
1,0.03,1
1,0.15,-1
-1,0.03,1
1,0.03,1
1,0.07,1
-1,0.2,-1
-1,0.1,1
-1,0.1,-1
-1,0.03,-1
-1,0.2,1
-1,0.07,-1
1,0.05,1
1,0.1,1
-1,0.05,-1
1,0.15,1
-1,0.05,-1
1,0.03,-1
1,0.2,1
1,0.1,-1
1,0.03,1
1,0.03,1
1,0.07,-1
1,0.2,1
-1,0.15,-1
-1,0.2,-1
1,0.07,1
1,0.15,-1
1,0.03,1
-1,0.15,-1
-1,0.2,-1
-1,0.05,-1
1,0.1,1
-1,0.1,-1
-1,0.07,-1
-1,0.15,1
-1,0.2,-1
1,0.15,1
-1,0.03,-1
-1,0.05,1
-1,0.05,-1
1,0.03,-1
1,0.05,1
1,0.05,1
-1,0.03,1
-1,0.15,-1
-1,0.15,-1
-1,0.1,-1
1,0.03,1
1,0.1,-1
-1,0.15,-1
-1,0.1,1
1,0.1,-1
-1,0.1,1
1,0.07,1
-1,0.15,-1
-1,0.15,-1
1,0.2,-1
1,0.03,1
-1,0.07,-1
1,0.1,1
-1,0.15,-1
1,0.1,1
-1,0.05,-1
-1,0.2,1
1,0.1,1
-1,0.15,-1
-1,0.15,-1
-1,0.07,-1
-1,0.03,-1
-1,0.1,1
1,0.03,-1
1,0.1,1
-1,0.15,-1
1,0.15,1
1,0.05,-1
-1,0.15,1
-1,0.07,-1
-1,0.03,-1
-1,0.07,1
-1,0.15,-1
-1,0.1,-1
-1,0.03,1
-1,0.15,-1
1,0.07,-1
1,0.03,1
1,0.1,1
1,0.2,1
1,0.07,1
-1,0.15,-1
-1,0.03,-1
1,0.15,1
-1,0.07,1
1,0.07,-1
1,0.1,-1
-1,0.1,1
-1,0.05,1
-1,0.05,-1
1,0.05,-1
1,0.2,1
-1,0.15,-1
1,0.05,1
-1,0.07,-1
1,0.2,-1
-1,0.15,1
-1,0.15,-1
1,0.03,1
-1,0.03,-1
1,0.15,1
1,0.15,-1
-1,0.03,-1
-1,0.15,1
-1,0.07,-1
1,0.05,1
1,0.05,1
-1,0.05,1
1,0.15,1
-1,0.05,-1
1,0.2,1
-1,0.07,1
1,0.03,-1
-1,0.07,1
1,0.03,1
1,0.15,1
1,0.1,1
-1,0.15,-1
-1,0.15,-1
-1,0.03,1
1,0.15,-1
1,0.1,-1
-1,0.2,-1
-1,0.2,1
1,0.15,-1
-1,0.03,1
1,0.1,1
1,0.1,1
1,0.2,1
-1,0.15,-1
1,0.15,-1
1,0.05,1
-1,0.15,-1
1,0.07,1
-1,0.15,1
1,0.15,-1
1,0.15,1
1,0.2,-1
1,0.1,1
-1,0.07,-1
1,0.15,1
1,0.03,-1
1,0.1,1
-1,0.05,-1
-1,0.15,1
-1,0.03,1
1,0.03,1
1,0.1,-1
-1,0.15,-1
-1,0.07,1
1,0.15,1
1,0.2,1
-1,0.15,-1
1,0.05,-1
1,0.2,1
-1,0.1,-1
-1,0.05,-1
-1,0.05,-1
1,0.03,-1
-1,0.2,-1
1,0.03,1
-1,0.15,-1
1,0.2,1
1,0.03,-1
1,0.05,1
1,0.03,-1
-1,0.03,1
1,0.1,-1
-1,0.05,-1
-1,0.05,1
1,0.2,1
-1,0.07,1
-1,0.2,-1
-1,0.07,1
-1,0.03,-1
-1,0.1,-1
